timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775446201001,758,HTTP Request,200,OK,Thread Group 1-7,text,true,,82896,116,5,5,https://www.google.com/,473,0,0
1775446200991,791,HTTP Request,200,OK,Thread Group 1-6,text,true,,83036,116,5,5,https://www.google.com/,478,0,0
1775446201354,796,HTTP Request,200,OK,Thread Group 1-8,text,true,,83060,116,4,4,https://www.google.com/,469,0,0
1775446201634,801,HTTP Request,200,OK,Thread Group 1-9,text,true,,83068,116,4,4,https://www.google.com/,475,0,0
1775446201760,1310,HTTP Request,200,OK,Thread Group 1-7,text,true,,83011,116,4,4,https://www.google.com/,990,0,0
1775446201577,1812,HTTP Request,200,OK,Thread Group 1-10,text,true,,82912,116,3,3,https://www.google.com/,1491,0,0
1775446202151,1337,HTTP Request,200,OK,Thread Group 1-8,text,true,,83003,116,3,3,https://www.google.com/,1003,0,0
1775446202436,1787,HTTP Request,200,OK,Thread Group 1-9,text,true,,83092,116,2,2,https://www.google.com/,1297,0,0
1775446203389,1447,HTTP Request,200,OK,Thread Group 1-10,text,true,,83014,116,2,2,https://www.google.com/,1120,0,0
1775446204223,969,HTTP Request,200,OK,Thread Group 1-9,text,true,,83165,116,2,2,https://www.google.com/,645,0,0
1775446204837,795,HTTP Request,200,OK,Thread Group 1-10,text,true,,82992,116,2,2,https://www.google.com/,450,0,0
1775446205193,916,HTTP Request,200,OK,Thread Group 1-9,text,true,,82973,116,1,1,https://www.google.com/,550,0,0
